
[CHASING SWORD] Head: (5, 27) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (6, 27) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (6, 28) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (6, 28) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (7, 28) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 28) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 27) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 26) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (7, 26) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (7, 26) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (7, 25) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (7, 24) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (8, 24) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (8, 23) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 22) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 21) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (8, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (9, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (10, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (11, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (12, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (13, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (13, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (14, 20) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (15, 20) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (15, 18) | Move: EAST | Safe path to Sword (Tier 2 (Highly Safe))
[CHASING SWORD] Head: (15, 17) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (15, 16) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
